Au,Ag,Cu,Pt,Al,24-bit color,R,G,B
0.65,0.1,0.15,0.05,0.05,16773825,255,242,193
0.65,0.05,0.2,0.05,0.05,16771788,255,234,204
0.05,0.4,0.4,0.1,0.05,16771288,255,232,216
0.3,0.05,0.5,0.05,0.1,16771278,255,232,206
0.05,0.35,0.45,0.1,0.05,16770518,255,229,214
0.3,0.1,0.45,0.05,0.1,16770510,255,229,206
0.75,0.05,0.05,0.1,0.05,16573101,252,226,173
0.05,0.65,0.15,0.1,0.05,16380655,249,242,239
0.05,0.6,0.2,0.1,0.05,16379885,249,239,237
0.05,0.3,0.5,0.1,0.05,16377297,249,229,209
0.7,0.1,0.05,0.1,0.05,16377266,249,229,178
0.3,0.15,0.4,0.05,0.1,16376536,249,226,216
0.05,0.25,0.55,0.1,0.05,16376524,249,226,204
0.05,0.2,0.6,0.1,0.05,16376006,249,224,198
0.8,0.05,0.05,0.05,0.05,16375983,249,224,175
0.05,0.15,0.65,0.1,0.05,16374724,249,219,196
0.05,0.75,0.05,0.1,0.05,16249583,247,242,239
0.1,0.55,0.2,0.1,0.05,16248293,247,237,229
0.6,0.05,0.15,0.1,0.1,16248255,247,237,191
0.05,0.55,0.25,0.1,0.05,16247528,247,234,232
0.05,0.5,0.3,0.1,0.05,16247010,247,232,226
0.05,0.45,0.35,0.1,0.05,16246240,247,229,224
0.3,0.2,0.35,0.05,0.1,16245462,247,226,214
0.65,0.15,0.05,0.1,0.05,16244911,247,224,175
0.65,0.1,0.1,0.1,0.05,16242349,247,214,173
0.05,0.65,0.1,0.05,0.15,16053480,244,244,232
0.05,0.7,0.1,0.1,0.05,16052973,244,242,237
0.05,0.8,0.05,0.05,0.05,16051690,244,237,234
0.05,0.7,0.05,0.05,0.15,16051682,244,237,226
0.1,0.45,0.3,0.1,0.05,16050395,244,232,219
0.6,0.2,0.1,0.05,0.05,16050374,244,232,198
0.55,0.2,0.15,0.05,0.05,16050357,244,232,181
0.1,0.4,0.35,0.1,0.05,16049627,244,229,219
0.55,0.15,0.2,0.05,0.05,16049589,244,229,181
0.55,0.1,0.25,0.05,0.05,16049586,244,229,178
0.25,0.1,0.5,0.05,0.1,16047576,244,221,216
0.3,0.25,0.3,0.05,0.1,16047566,244,221,206
0.05,0.1,0.7,0.1,0.05,16047561,244,221,201
0.25,0.15,0.45,0.05,0.1,16047059,244,219,211
0.1,0.65,0.05,0.15,0.05,15921898,242,242,234
0.1,0.6,0.1,0.15,0.05,15921128,242,239,232
0.1,0.55,0.15,0.15,0.05,15920613,242,237,229
0.1,0.7,0.1,0.05,0.05,15920613,242,237,229
0.05,0.75,0.1,0.05,0.05,15919848,242,234,232
0.05,0.55,0.2,0.15,0.05,15919845,242,234,229
0.1,0.5,0.2,0.15,0.05,15919842,242,234,226
0.1,0.65,0.15,0.05,0.05,15919842,242,234,226
0.05,0.5,0.25,0.15,0.05,15919333,242,232,229
0.05,0.7,0.15,0.05,0.05,15919333,242,232,229
0.6,0.25,0.05,0.05,0.05,15919292,242,232,188
0.05,0.65,0.2,0.05,0.05,15918562,242,229,226
0.1,0.5,0.25,0.1,0.05,15917275,242,224,219
0.1,0.4,0.4,0.05,0.05,15917272,242,224,216
0.1,0.35,0.4,0.1,0.05,15917270,242,224,214
0.6,0.05,0.1,0.2,0.05,15917239,242,224,183
0.65,0.05,0.05,0.2,0.05,15917239,242,224,183
0.6,0.2,0.05,0.1,0.05,15917231,242,224,175
0.1,0.3,0.45,0.1,0.05,15916499,242,221,211
0.3,0.3,0.25,0.05,0.1,15916494,242,221,206
0.7,0.05,0.05,0.15,0.05,15916469,242,221,181
0.25,0.3,0.3,0.05,0.1,15915985,242,219,209
0.25,0.25,0.35,0.05,0.1,15915214,242,216,206
0.25,0.2,0.4,0.05,0.1,15914700,242,214,204
0.3,0.05,0.4,0.1,0.15,15914689,242,214,193
0.25,0.05,0.55,0.05,0.1,15913934,242,211,206
0.6,0.05,0.25,0.05,0.05,15912601,242,206,153
0.6,0.15,0.1,0.1,0.05,15912580,242,206,132
0.15,0.6,0.05,0.15,0.05,15724517,239,239,229
0.05,0.65,0.1,0.15,0.05,15724005,239,237,229
0.05,0.7,0.05,0.15,0.05,15724005,239,237,229
0.2,0.65,0.05,0.05,0.05,15724005,239,237,229
0.15,0.7,0.05,0.05,0.05,15724002,239,237,226
0.25,0.5,0.05,0.15,0.05,15723997,239,237,221
0.05,0.6,0.15,0.15,0.05,15723234,239,234,226
0.15,0.65,0.1,0.05,0.05,15723232,239,234,224
0.35,0.4,0.05,0.15,0.05,15723217,239,234,209
0.4,0.3,0.05,0.2,0.05,15723204,239,234,196
0.05,0.4,0.35,0.15,0.05,15722722,239,232,226
0.05,0.45,0.3,0.15,0.05,15722722,239,232,226
0.1,0.45,0.25,0.15,0.05,15722720,239,232,224
0.15,0.6,0.15,0.05,0.05,15722717,239,232,221
0.05,0.65,0.15,0.05,0.1,15722715,239,232,219
0.4,0.45,0.05,0.05,0.05,15722700,239,232,204
0.5,0.35,0.05,0.05,0.05,15722684,239,232,188
0.05,0.3,0.45,0.15,0.05,15721952,239,229,224
0.05,0.35,0.4,0.15,0.05,15721952,239,229,224
0.1,0.75,0.05,0.05,0.05,15721952,239,229,224
0.1,0.4,0.3,0.15,0.05,15721949,239,229,221
0.1,0.6,0.2,0.05,0.05,15721949,239,229,221
0.15,0.55,0.2,0.05,0.05,15721949,239,229,221
0.1,0.55,0.25,0.05,0.05,15721947,239,229,219
0.05,0.55,0.05,0.1,0.25,15721937,239,229,209
0.6,0.1,0.05,0.2,0.05,15721914,239,229,186
0.05,0.05,0.7,0.15,0.05,15721181,239,226,221
0.05,0.2,0.55,0.15,0.05,15721181,239,226,221
0.05,0.25,0.5,0.15,0.05,15721181,239,226,221
0.1,0.35,0.35,0.15,0.05,15721179,239,226,219
0.1,0.5,0.3,0.05,0.05,15721176,239,226,216
0.25,0.4,0.2,0.05,0.1,15721174,239,226,214
0.25,0.45,0.15,0.05,0.1,15721171,239,226,211
0.2,0.45,0.25,0.05,0.05,15721166,239,226,206
0.1,0.3,0.4,0.15,0.05,15720667,239,224,219
0.1,0.45,0.35,0.05,0.05,15720662,239,224,214
0.3,0.35,0.2,0.05,0.1,15720662,239,224,214
0.25,0.5,0.1,0.05,0.1,15720654,239,224,206
0.2,0.4,0.3,0.05,0.05,15720649,239,224,201
0.1,0.35,0.45,0.05,0.05,15719894,239,221,214
0.25,0.35,0.25,0.05,0.1,15719891,239,221,211
0.6,0.15,0.05,0.15,0.05,15719861,239,221,181
0.1,0.25,0.5,0.1,0.05,15719374,239,219,206
0.1,0.2,0.55,0.1,0.05,15718606,239,216,206
0.25,0.05,0.45,0.1,0.15,15717324,239,211,204
0.3,0.1,0.35,0.1,0.15,15717311,239,211,191
0.7,0.05,0.1,0.1,0.05,15715478,239,204,150
0.3,0.05,0.45,0.05,0.15,15713985,239,198,193
0.05,0.75,0.05,0.05,0.1,15593440,237,239,224
0.1,0.7,0.05,0.05,0.1,15593440,237,239,224
0.05,0.7,0.1,0.05,0.1,15592925,237,237,221
0.3,0.55,0.05,0.05,0.05,15592920,237,237,216
0.3,0.45,0.05,0.15,0.05,15592915,237,237,211
0.05,0.55,0.05,0.25,0.1,15592162,237,234,226
0.1,0.55,0.1,0.2,0.05,15592162,237,234,226
0.15,0.5,0.1,0.2,0.05,15592160,237,234,224
0.1,0.65,0.1,0.05,0.1,15592155,237,234,219
0.25,0.45,0.05,0.2,0.05,15592152,237,234,216
0.3,0.4,0.05,0.2,0.05,15592150,237,234,214
0.35,0.5,0.05,0.05,0.05,15592145,237,234,209
0.35,0.35,0.05,0.2,0.05,15592142,237,234,206
0.4,0.35,0.05,0.15,0.05,15592140,237,234,204
0.05,0.45,0.15,0.25,0.1,15591648,237,232,224
0.05,0.5,0.1,0.25,0.1,15591648,237,232,224
0.45,0.25,0.05,0.2,0.05,15591622,237,232,198
0.45,0.4,0.05,0.05,0.05,15591622,237,232,198
0.45,0.3,0.05,0.15,0.05,15591617,237,232,193
0.5,0.25,0.05,0.15,0.05,15591617,237,232,193
0.5,0.2,0.05,0.2,0.05,15591615,237,232,191
0.05,0.5,0.3,0.05,0.1,15590875,237,229,219
0.05,0.5,0.2,0.2,0.05,15590109,237,226,221
0.05,0.1,0.65,0.15,0.05,15590107,237,226,219
0.05,0.15,0.6,0.15,0.05,15590107,237,226,219
0.55,0.1,0.05,0.25,0.05,15590076,237,226,188
0.55,0.3,0.05,0.05,0.05,15590076,237,226,188
0.1,0.25,0.45,0.15,0.05,15589592,237,224,216
0.55,0.25,0.1,0.05,0.05,15589554,237,224,178
0.1,0.2,0.5,0.15,0.05,15588822,237,221,214
0.2,0.35,0.35,0.05,0.05,15588806,237,221,198
0.55,0.05,0.05,0.25,0.1,15588794,237,221,186
0.15,0.5,0.25,0.05,0.05,15588307,237,219,211
0.05,0.15,0.65,0.05,0.1,15588302,237,219,206
0.2,0.45,0.2,0.05,0.1,15588294,237,219,198
0.2,0.3,0.4,0.05,0.05,15588289,237,219,193
0.15,0.4,0.35,0.05,0.05,15587537,237,216,209
0.15,0.45,0.3,0.05,0.05,15587537,237,216,209
0.05,0.2,0.65,0.05,0.05,15587534,237,216,206
0.15,0.35,0.4,0.05,0.05,15587534,237,216,206
0.05,0.1,0.7,0.05,0.1,15587532,237,216,204
0.05,0.15,0.7,0.05,0.05,15587532,237,216,204
0.15,0.15,0.6,0.05,0.05,15587532,237,216,204
0.05,0.05,0.75,0.05,0.1,15587529,237,216,201
0.2,0.25,0.45,0.05,0.05,15587519,237,216,191
0.6,0.05,0.05,0.25,0.05,15587519,237,216,191
0.65,0.1,0.05,0.15,0.05,15587498,237,216,170
0.15,0.3,0.45,0.05,0.05,15587022,237,214,206
0.1,0.15,0.6,0.1,0.05,15587020,237,214,204
0.15,0.1,0.65,0.05,0.05,15587020,237,214,204
0.15,0.2,0.55,0.05,0.05,15587020,237,214,204
0.15,0.25,0.5,0.05,0.05,15587020,237,214,204
0.05,0.25,0.55,0.05,0.1,15587017,237,214,201
0.05,0.2,0.6,0.05,0.1,15587014,237,214,198
0.2,0.4,0.25,0.05,0.1,15587009,237,214,193
0.2,0.2,0.5,0.05,0.05,15587004,237,214,188
0.1,0.1,0.65,0.1,0.05,15586249,237,211,201
0.15,0.05,0.7,0.05,0.05,15586249,237,211,201
0.25,0.1,0.4,0.1,0.15,15586249,237,211,201
0.2,0.35,0.3,0.05,0.1,15586239,237,211,191
0.3,0.15,0.3,0.1,0.15,15586236,237,211,188
0.2,0.15,0.55,0.05,0.05,15586231,237,211,183
0.6,0.1,0.1,0.15,0.05,15586223,237,211,175
0.2,0.3,0.35,0.05,0.1,15585729,237,209,193
0.65,0.05,0.1,0.15,0.05,15584938,237,206,170
0.05,0.6,0.05,0.1,0.2,15395549,234,234,221
0.4,0.25,0.05,0.25,0.05,15395014,234,232,198
0.05,0.35,0.25,0.25,0.1,15394269,234,229,221
0.05,0.4,0.2,0.25,0.1,15394269,234,229,221
0.05,0.4,0.3,0.2,0.05,15394269,234,229,221
0.1,0.35,0.3,0.2,0.05,15394267,234,229,219
0.2,0.6,0.05,0.05,0.1,15394264,234,229,216
0.1,0.6,0.15,0.05,0.1,15394259,234,229,211
0.45,0.2,0.05,0.25,0.05,15394244,234,229,196
0.05,0.3,0.4,0.2,0.05,15393499,234,226,219
0.05,0.35,0.35,0.2,0.05,15393499,234,226,219
0.1,0.3,0.35,0.2,0.05,15393499,234,226,219
0.05,0.6,0.2,0.05,0.1,15393494,234,226,214
0.2,0.55,0.1,0.05,0.1,15393491,234,226,211
0.2,0.55,0.05,0.15,0.05,15393481,234,226,201
0.3,0.3,0.1,0.25,0.05,15393476,234,226,196
0.4,0.15,0.05,0.35,0.05,15393476,234,226,196
0.55,0.2,0.05,0.1,0.1,15393466,234,226,186
0.05,0.65,0.1,0.1,0.1,15392989,234,224,221
0.05,0.25,0.45,0.2,0.05,15392987,234,224,219
0.05,0.6,0.15,0.1,0.1,15392987,234,224,219
0.1,0.55,0.05,0.25,0.05,15392984,234,224,216
0.05,0.25,0.5,0.05,0.15,15392979,234,224,211
